Date,Infected,Daily_infected,Recovered,Death,Active_infected,Predicted_active_infected,Predicted_total_recovered,Predicted_total_death,Predicted_total_infected
19-Feb-20,2,0,0,2,0,Nan,Nan,Nan,Nan
20-Feb-20,5,3,0,2,3,Nan,Nan,Nan,Nan
21-Feb-20,18,13,0,4,14,Nan,Nan,Nan,Nan
22-Feb-20,29,11,0,6,23,Nan,Nan,Nan,Nan
23-Feb-20,43,14,1,8,34,Nan,Nan,Nan,Nan
24-Feb-20,61,18,3,12,46,Nan,Nan,Nan,Nan
25-Feb-20,95,34,25,16,54,Nan,Nan,Nan,Nan
26-Feb-20,139,44,25,19,95,Nan,Nan,Nan,Nan
27-Feb-20,245,106,54,26,165,Nan,Nan,Nan,Nan
28-Feb-20,388,143,73,34,281,Nan,Nan,Nan,Nan
29-Feb-20,593,205,123,43,427,Nan,Nan,Nan,Nan
1-Mar-20,978,385,175,54,749,Nan,Nan,Nan,Nan
2-Mar-20,1501,523,291,66,1144,Nan,Nan,Nan,Nan
3-Mar-20,2336,835,435,77,1824,Nan,Nan,Nan,Nan
4-Mar-20,2922,586,552,92,2278,Nan,Nan,Nan,Nan
5-Mar-20,3513,591,739,108,2666,Nan,Nan,Nan,Nan
6-Mar-20,4747,1234,913,124,3710,Nan,Nan,Nan,Nan
7-Mar-20,5823,1076,1669,145,4009,Nan,Nan,Nan,Nan
8-Mar-20,6566,743,2134,194,4238,Nan,Nan,Nan,Nan
9-Mar-20,7161,595,2390,237,4534,Nan,Nan,Nan,Nan
10-Mar-20,8042,881,2731,291,5020,Nan,Nan,Nan,Nan
11-Mar-20,9000,958,2959,354,5687,Nan,Nan,Nan,Nan
12-Mar-20,10075,1075,3276,429,6370,Nan,Nan,Nan,Nan
13-Mar-20,11364,1289,3529,514,7321,Nan,Nan,Nan,Nan
14-Mar-20,12729,1365,4339,611,7779,Nan,Nan,Nan,Nan
15-Mar-20,13938,1209,4790,724,8424,Nan,Nan,Nan,Nan
16-Mar-20,14991,1053,4996,853,9142,Nan,Nan,Nan,Nan
17-Mar-20,16169,1178,5389,988,9792,Nan,Nan,Nan,Nan
18-Mar-20,17361,1192,5710,1135,10516,Nan,Nan,Nan,Nan
19-Mar-20,18407,1046,5979,1284,11144,Nan,Nan,Nan,Nan
20-Mar-20,19644,1237,6745,1433,11466,Nan,Nan,Nan,Nan
21-Mar-20,20610,966,7635,1556,11419,Nan,Nan,Nan,Nan
22-Mar-20,21638,1028,7913,1685,12040,Nan,Nan,Nan,Nan
23-Mar-20,23049,1411,8376,1812,12861,Nan,Nan,Nan,Nan
24-Mar-20,24811,1762,8913,1934,13964,Nan,Nan,Nan,Nan
25-Mar-20,27017,2206,9625,2077,15315,Nan,Nan,Nan,Nan
26-Mar-20,29406,2389,10457,2234,16715,Nan,Nan,Nan,Nan
27-Mar-20,32332,2926,11133,2378,18821,Nan,Nan,Nan,Nan
28-Mar-20,35408,3076,11679,2517,21212,Nan,Nan,Nan,Nan
29-Mar-20,38309,2901,12391,2640,23278,Nan,Nan,Nan,Nan
30-Mar-20,41495,3186,13911,2757,24827,Nan,Nan,Nan,Nan
31-Mar-20,44606,3111,14656,2898,27052,27052,14656,2898,44606
1-Apr-20,47593,2987,15473,3036,29084,28135,15975,3016,47126
2-Apr-20,50468,2875,16711,3160,30597,29261,17347,3139,49747
3-Apr-20,53183,2715,17935,3294,31954,30432,18774,3266,52472
4-Apr-20,55743,2560,19736,3452,32555,31649,20258,3399,55306
5-Apr-20,58226,2483,22011,3603,32612,32916,21801,3537,58254
6-Apr-20,60500,2274,24236,3739,32525,34232,23407,3680,61319
7-Apr-20,Nan,Nan,Nan,Nan,Nan,35602,25076,3830,64508
8-Apr-20,Nan,Nan,Nan,Nan,Nan,37026,26812,3985,67823
9-Apr-20,Nan,Nan,Nan,Nan,Nan,38507,28618,4146,71271
10-Apr-20,Nan,Nan,Nan,Nan,Nan,40047,30495,4314,74856
11-Apr-20,Nan,Nan,Nan,Nan,Nan,41648,32448,4489,78585
